# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.replace.project.model.ms,1692778003483000000,1692778022948000000,0
workspaceModel.init.bridges.ms,1692778003483000000,1692778022948000000,18
workspaceModel.loading.from.cache.ms,1692778003483000000,1692778022948000000,17
workspaceModel.loading.total.ms,1692778003483000000,1692778022948000000,26
workspaceModel.to.snapshot.ms,1692778003483000000,1692778022948000000,15
workspaceModel.update.unloaded.entities.ms,1692778003483000000,1692778022948000000,0
workspaceModel.collect.changes.ms,1692778003483000000,1692778022948000000,180
JVM.threadCount,1692778022948000000,1692778063492000000,159
JVM.totalCpuTimeMs,1692778022948000000,1692778063492000000,475990
JVM.usedNativeBytes,1692778022948000000,1692778063492000000,451754816
JVM.GC.collections,1692778022948000000,1692778063492000000,96
JVM.maxHeapBytes,1692778022948000000,1692778063492000000,8589934592
JVM.GC.collectionTimesMs,1692778022948000000,1692778063492000000,1313
JVM.maxNativeBytes,1692778022948000000,1692778063492000000,-1
OS.loadAverage,1692778022948000000,1692778063492000000,7.45849609375
JVM.usedHeapBytes,1692778022948000000,1692778063492000000,2297483776
FileNameCache.fastMisses,1692778022948000000,1692778063492000000,4662926
FileNameCache.queries,1692778022948000000,1692778063492000000,34287643
MappedFileStorage.totalBytesMapped,1692778022948000000,1692778063492000000,71303168
FileNameCache.totalMisses,1692778022948000000,1692778063492000000,16607
MappedFileStorage.storages,1692778022948000000,1692778063492000000,2
MappedFileStorage.totalPagesMapped,1692778022948000000,1692778063492000000,2
FilePageCache.maxRegisteredFiles,1692778022948000000,1692778063492000000,775
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1692778022948000000,1692778063492000000,385564672
StreamlinedBlobStorage.recordsAllocated,1692778022948000000,1692778063492000000,17151
StreamlinedBlobStorage.recordsDeleted,1692778022948000000,1692778063492000000,1864
FilePageCache.disposedBuffers,1692778022948000000,1692778063492000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1692778022948000000,1692778063492000000,0
DirectByteBufferAllocator.disposed,1692778022948000000,1692778063492000000,0
FilePageCache.pageFastCacheHits,1692778022948000000,1692778063492000000,625035
StorageLockContext.competingThreads.max,1692778022948000000,1692778063492000000,0
DirectByteBufferAllocator.reclaimed,1692778022948000000,1692778063492000000,0
DirectByteBufferAllocator.hits,1692778022948000000,1692778063492000000,0
StreamlinedBlobStorage.recordsRelocated,1692778022948000000,1692778063492000000,0
FilePageCache.pageHits,1692778022948000000,1692778063492000000,1012
StorageLockContext.competingThreads.avg,1692778022948000000,1692778063492000000,0.0
DirectByteBufferAllocator.misses,1692778022948000000,1692778063492000000,1658
FilePageCache.totalPageDisposalsUs,1692778022948000000,1692778063492000000,373
FilePageCache.capacityInBytes,1692778022948000000,1692778063492000000,629145600
FilePageCache.totalPageLoadsUs,1692778022948000000,1692778063492000000,71929
FilePageCache.uncachedFileAccess,1692778022948000000,1692778063492000000,2416
